Name,Adddress,phone
Mehta Car Clinic,"36, Pashan Road, Pune, Maharashtra 411008, India",+91 90012 34567
Joshi Garage,"18, Shivtirth Nagar, Pune, Maharashtra 411032, India",+91 90789 01234
Verma Auto Repairs,"69, Balewadi Road, Pune, Maharashtra 411045, India",+91 91234 56789
Desai Car Solutions,"82, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 92234 56789
Patel Motor Works,"45, Lohegaon Road, Pune, Maharashtra 411032, India",+91 93345 67890
Sharma Automobile Repairs,"29, Sangamvadi Road, Pune, Maharashtra 411001, India",+91 94456 78900
Gupta Car Solutions,"53, Yerwada Road, Pune, Maharashtra 411006, India",+91 95567 89012
Khan Motor Garage,"78, Kharadi Road, Pune, Maharashtra 411014, India",+91 96678 90123
Singh Car Solutions,"17, Bavdhan Road, Pune, Maharashtra 411021, India",+91 97789 01234
Mehta Automobile Repairs,"95, Chandan Nagar, Pune, Maharashtra 411014, India",+91 98890 12345
Joshi Car Garage,"21, Kothrud Depot Road, Pune, Maharashtra 411038, India",+91 99789 23456
Verma Motor Works,"66, Dhanori Road, Pune, Maharashtra 411015, India",+91 80456 78903
Desai Car Garage,"92, Mundhwa Road, Pune, Maharashtra 411036, India",+91 81567 89012
Patel Automobile Repairs,"37, Shaniwar Peth, Pune, Maharashtra 411030, India",+91 82678 90123
Sharma Car Garage,"59, Ghorpadi Road, Pune, Maharashtra 411028, India",+91 83789 01234
Gupta Motor Works,"19, Vadgaon Sheri Road, Pune, Maharashtra 411014, India",+91 84890 12345
Khan Car Solutions,"32, Narhe Road, Pune, Maharashtra 411041, India",+91 85901 23456
Sharma Motor Solutions,"26, Hadapsar Road, Pune, Maharashtra 411028, India",+91 86789 34567
Gupta Car Garage,"58, Kondhwa Road, Pune, Maharashtra 411048, India",+91 92123 90123
Khan Auto Solutions,"64, Warje Road, Pune, Maharashtra 411058, India",+91 84678 90123
Singh Car Repairs,"88, Kothrud Road, Pune, Maharashtra 411038, India",+91 85234 56789
Mehta Automobile Garage,"33, Vishal Nagar, Pune, Maharashtra 411027, India",+91 86789 01234
Joshi Car Clinic,"49, Sus Road, Pune, Maharashtra 411021, India",+91 87890 12345
Verma Motor Solutions,"20, Shivne Road, Pune, Maharashtra 411023, India",+91 88765 45678
Desai Auto Garage,"61, Katraj Road, Pune, Maharashtra 411046, India",+91 89456 78900
Patel Car Solutions,"36, Pashan Road, Pune, Maharashtra 411008, India",+91 90012 34567
Sharma Motor Clinic,"18, Shivtirth Nagar, Pune, Maharashtra 411032, India",+91 90789 01234
Gupta Auto Garage,"69, Balewadi Road, Pune, Maharashtra 411045, India",+91 91234 56789
Khan Car Repairs,"82, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 92234 56789
Singh Automobile Garage,"45, Lohegaon Road, Pune, Maharashtra 411032, India",+91 93345 67890
Mehta Car Solutions,"29, Sangamvadi Road, Pune, Maharashtra 411001, India",+91 94456 78900
Joshi Motor Clinic,"53, Yerwada Road, Pune, Maharashtra 411006, India",+91 95567 89012
Verma Auto Repairs,"78, Kharadi Road, Pune, Maharashtra 411014, India",+91 96678 90123
Desai Car Garage,"17, Bavdhan Road, Pune, Maharashtra 411021, India",+91 97789 01234
Patel Motor Clinic,"95, Chandan Nagar, Pune, Maharashtra 411014, India",+91 98890 12345
Sharma Car Solutions,"21, Kothrud Depot Road, Pune, Maharashtra 411038, India",+91 99789 23456
Gupta Motor Clinic,"66, Dhanori Road, Pune, Maharashtra 411015, India",+91 80456 78903
Khan Automobile Garage,"92, Mundhwa Road, Pune, Maharashtra 411036, India",+91 81567 89012
Singh Car Solutions,"37, Shaniwar Peth, Pune, Maharashtra 411030, India",+91 82678 90123
Mehta Auto Repairs,"59, Ghorpadi Road, Pune, Maharashtra 411028, India",+91 83789 01234
Joshi Car Garage,"19, Vadgaon Sheri Road, Pune, Maharashtra 411014, India",+91 84890 12345
Verma Motor Clinic,"32, Narhe Road, Pune, Maharashtra 411041, India",+91 85901 23456
Desai Car Solutions,"44, Camp Road, Pune, Maharashtra 411001, India",+91 86789 34567
Patel Motor Garage,"55, Koregaon Park, Pune, Maharashtra 411001, India",+91 87678 45678
Sharma Automobile Solutions,"77, Paud Road, Kothrud, Pune, Maharashtra 411038, India",+91 88789 56789
Gupta Car Clinic,"87, Fergusson College Road, Pune, Maharashtra 411004, India",+91 89890 67890
Khan Motor Garage,"69, JM Road, Pune, Maharashtra 411005, India",+91 90901 78901
Singh Car Clinic,"39, Karve Road, Pune, Maharashtra 411038, India",+91 91012 89012
Mehta Motor Solutions,"25, Aundh Road, Pune, Maharashtra 411007, India",+91 92123 90123
Joshi Auto Garage,"13, Baner Road, Pune, Maharashtra 411045, India",+91 93234 01234
Verma Car Solutions,"71, Wakad Road, Pune, Maharashtra 411057, India",+91 94345 12345
Desai Motor Clinic,"85, Hinjewadi Road, Pune, Maharashtra 411057, India",+91 95456 23456
Patel Automobile Garage,"28, Bibwewadi Road, Pune, Maharashtra 411037, India",+91 96567 34567
Sharma Car Clinic,"43, Shivajinagar Road, Pune, Maharashtra 411016, India",+91 97678 45678
Gupta Auto Solutions,"62, Sadhu Vaswani Road, Pune, Maharashtra 411001, India",+91 98789 56789
Khan Motor Clinic,"38, Laxmi Road, Pune, Maharashtra 411002, India",+91 99890 67890
Singh Automobile Repairs,"56, Camp Road, Pune, Maharashtra 411001, India",+91 80456 78903
Mehta Car Garage,"72, Koregaon Park, Pune, Maharashtra 411001, India",+91 81567 89012
Joshi Motor Clinic,"84, Paud Road, Kothrud, Pune, Maharashtra 411038, India",+91 82678 90123
Verma Auto Garage,"95, JM Road, Pune, Maharashtra 411005, India",+91 83789 01234
Desai Car Solutions,"17, Karve Road, Pune, Maharashtra 411038, India",+91 84890 12345
Patel Car Garage,"21, Aundh Road, Pune, Maharashtra 411007, India",+91 85901 23456
Sharma Motor Repairs,"34, Baner Road, Pune, Maharashtra 411045, India",+91 86789 34567
Gupta Car Solutions,"49, Wakad Road, Pune, Maharashtra 411057, India",+91 87678 45678
Khan Auto Garage,"62, Hinjewadi Road, Pune, Maharashtra 411057, India",+91 88789 56789
Singh Car Clinic,"75, Bibwewadi Road, Pune, Maharashtra 411037, India",+91 89890 67890
Mehta Automobile Solutions,"88, Shivajinagar Road, Pune, Maharashtra 411016, India",+91 90901 78901
Sharma Auto Solutions,"Plot No. 22, Dhanori Heights, New Airport Road, Pune, Maharashtra 411032, India",+91 91012 89012
Gupta Car Care,"45, Rosewood Apartments, Baner-Pashan Link Road, Pune, Maharashtra 411045, India",+91 82013 45678
Khan Auto Clinic,"7/3, Krishna Kunj, Nagar Road, Yerwada, Pune, Maharashtra 411006, India",+91 82234 56789
Singh Car Services,"29, Silver Springs, Bavdhan-NDA Road, Pune, Maharashtra 411021, India",+91 82456 67890
Mehta Automobile Repairs,"56, Golden Plaza, Hinjewadi Phase 1, Pune, Maharashtra 411057, India",+91 82678 78901
Joshi Car Garage,"B-12, Gokhale Vihar, Law College Road, Pune, Maharashtra 411004, India",+91 82890 89012
Verma Motor Works,"14, Lakeview Residency, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 83123 90123
Desai Auto Care,"C-3, Rajput Plaza, NIBM Road, Pune, Maharashtra 411048, India",+91 83345 01234
Patel Car Clinic,"82, Diamond Tower, Bund Garden Road, Pune, Maharashtra 411001, India",+91 83567 12345
Sharma Motor Repairs,"F-17, Ravi Nagar, Paud Road, Pune, Maharashtra 411038, India",+91 83789 23456
Gupta Auto Garage,"Plot No. 8, Siddhi Vinayak Nagar, Shivajinagar, Pune, Maharashtra 411016, India",+91 84012 34567
Khan Car Clinic,"6/2, Parvati Darshan, Sinhagad Road, Pune, Maharashtra 411030, India",+91 84234 45678
Singh Automobile Services,"A-9, Mangaldeep Society, Salunke Vihar Road, Pune, Maharashtra 411040, India",+91 84456 56789
Mehta Car Solutions,"33, Sunrise Residency, Magarpatta Road, Pune, Maharashtra 411028, India",+91 84678 67890
Joshi Motor Repairs,"14, Silver Oaks, Kothrud, Pune, Maharashtra 411038, India",+91 84901 78901
Verma Auto Garage,"Plot No. 5, Renuka Park, Dhankawadi, Pune, Maharashtra 411043, India",+91 85123 89012
Desai Car Care,"92, Park View Society, Wanowrie, Pune, Maharashtra 411040, India",+91 85345 90123
Patel Motor Clinic,"17, Pride Icon, Balewadi, Pune, Maharashtra 411045, India",+91 85567 01234
Sharma Car Services,"E-22, Kumar Park, Kondhwa, Pune, Maharashtra 411048, India",+91 85789 12345
Gupta Motor Works,"41, Ganga Constella, Kharadi, Pune, Maharashtra 411014, India",+91 86012 23456
Khan Auto Garage,"65, Blossom Plaza, Wakad, Pune, Maharashtra 411057, India",+91 86234 34567
Singh Car Repairs,"D-8, Ozone Villas, Viman Nagar, Pune, Maharashtra 411014, India",+91 86456 45678
Mehta Automobile Clinic,"23, Sunflower Apartments, Katraj-Hadapsar Bypass, Pune, Maharashtra 411046, India",+91 86678 56789
Joshi Car Solutions,"9/1, Diamond Residency, Sinhagad Road, Pune, Maharashtra 411030, India",+91 86901 67890
Verma Motor Clinic,"B-14, Parimal Terrace, Vishrantwadi, Pune, Maharashtra 411015, India",+91 87123 78901
Desai Auto Garage,"Plot No. 19, Sundar Nagar, Chandan Nagar, Pune, Maharashtra 411014, India",+91 87345 89012
Patel Car Repairs,"37, Empire Enclave, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 87567 90123
Sharma Motor Clinic,"12, Shivam Complex, Mundhwa, Pune, Maharashtra 411036, India",+91 87890 01234
Gupta Car Garage,"76, Greenfield Society, Warje, Pune, Maharashtra 411058, India",+91 88012 12345
Khan Auto Solutions,"22, Diamond Garden, Pashan-Sus Road, Pune, Maharashtra 411008, India",+91 88234 23456
Singh Car Clinic,"A-3, Krishna Residency, Karve Nagar, Pune, Maharashtra 411038, India",+91 88456 34567
Mehta Automobile Garage,"51, Shree Heights, NIBM Annexe, Pune, Maharashtra 411048, India",+91 88678 45678
Joshi Car Care,"Plot No. 10, Sanskruti Residency, Mundhwa, Pune, Maharashtra 411036, India",+91 88901 56789
Verma Motor Solutions,"63, Lake View Villas, Yerwada, Pune, Maharashtra 411006, India",+91 89123 67890
Desai Auto Solutions,"C-17, Anand Residency, Kothrud, Pune, Maharashtra 411038, India",+91 89345 78901
Patel Car Garage,"28, Gulmohar Park, Viman Nagar, Pune, Maharashtra 411014, India",+91 89567 89012
Sharma Automobile Services,"81, Rainbow Plaza, Baner, Pune, Maharashtra 411045, India",+91 89890 90123
Gupta Car Solutions,"E-5, Silver Palm, Balewadi, Pune, Maharashtra 411045, India",+91 90012 01234
Khan Car Garage,"Plot No. 13, Maple Wood, Kondhwa, Pune, Maharashtra 411048, India",+91 90234 12345
Singh Auto Clinic,"54, Prabhat Residency, Shivajinagar, Pune, Maharashtra 411016, India",+91 90456 23456
Mehta Motor Repairs,"39, Gokhale Nagari, Sinhagad Road, Pune, Maharashtra 411030, India",+91 90678 34567
Joshi Automobile Solutions,"17, Harmony Complex, Viman Nagar, Pune, Maharashtra 411014, India",+91 90901 45678
Verma Car Clinic,"A-22, Sunshine Park, Kothrud, Pune, Maharashtra 411038, India",+91 91123 56789
Desai Motor Works,"47, Orchid Plaza, Hinjewadi Phase 2, Pune, Maharashtra 411057, India",+91 91345 67890
Patel Automobile Repairs,"D-7, Pinnacle Park, Aundh, Pune, Maharashtra 411007, India",+91 91567 78901
Sharma Car Garage,"26, River Residency, Magarpatta City, Pune, Maharashtra 411028, India",+91 91890 89012
Gupta Auto Clinic,"71, Lotus Park, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 92012 90123
Khan Motor Repairs,"B-9, Emerald Court, Balewadi, Pune, Maharashtra 411045, India",+91 92234 01234
Singh Car Garage,"29, Symphony Towers, Kondhwa, Pune, Maharashtra 411048, India",+91 92456 12345
Mehta Automobile Solutions,"Plot No. 6, Rajyog Apartments, Wanowrie, Pune, Maharashtra 411040, India",+91 92678 23456
Patel Automobile Solutions,"17, Golden Enclave, Aundh, Pune, Maharashtra 411007, India",+91 82013 45678
Sharma Auto Garage,"A-3, Lotus Park, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 82234 56789
Gupta Car Clinic,"B-12, Royal Towers, Baner Road, Pune, Maharashtra 411045, India",+91 82456 67890
Khan Motor Works,"29, Silver Heights, NIBM Road, Pune, Maharashtra 411048, India",+91 82678 78901
Singh Car Services,"56, Platinum Plaza, Koregaon Park, Pune, Maharashtra 411001, India",+91 82890 89012
Mehta Auto Clinic,"Plot No. 6, Sapphire Arcade, Kharadi, Pune, Maharashtra 411014, India",+91 83123 90123
Joshi Automobile Solutions,"43, Crystal Residency, Hadapsar, Pune, Maharashtra 411028, India",+91 83345 01234
Verma Motor Garage,"14, Emerald Heights, Wakad, Pune, Maharashtra 411057, India",+91 83567 12345
Desai Car Care,"C-9, Sapphire Towers, Kondhwa, Pune, Maharashtra 411048, India",+91 83789 23456
Patel Car Repairs,"82, Diamond Plaza, Viman Nagar, Pune, Maharashtra 411014, India",+91 84012 34567
Sharma Motor Solutions,"F-17, Platinum Towers, Balewadi, Pune, Maharashtra 411045, India",+91 84234 45678
Gupta Auto Works,"41, Golden Arch, Pashan, Pune, Maharashtra 411008, India",+91 84456 56789
Khan Car Clinic,"65, Silver Palace, Magarpatta City, Pune, Maharashtra 411028, India",+91 84678 67890
Singh Motor Garage,"B-9, Sapphire Towers, Koregaon Park, Pune, Maharashtra 411001, India",+91 84901 78901
Mehta Car Services,"Plot No. 12, Ruby Residency, Yerwada, Pune, Maharashtra 411006, India",+91 85123 89012
Joshi Auto Works,"33, Diamond Heights, Viman Nagar, Pune, Maharashtra 411014, India",+91 85345 90123
Verma Car Clinic,"A-22, Gold Park, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 85567 01234
Desai Motor Solutions,"47, Platinum Towers, Aundh, Pune, Maharashtra 411007, India",+91 85789 12345
Patel Auto Garage,"29, Emerald Plaza, Baner, Pune, Maharashtra 411045, India",+91 86012 23456
Sharma Car Repairs,"17, Crystal Heights, Koregaon Park, Pune, Maharashtra 411001, India",+91 86234 34567
Gupta Motor Clinic,"62, Sapphire Residency, Kharadi, Pune, Maharashtra 411014, India",+91 86456 45678
Khan Auto Works,"83, Diamond Enclave, Hadapsar, Pune, Maharashtra 411028, India",+91 86678 56789
Singh Car Garage,"Plot No. 5, Emerald Plaza, Wakad, Pune, Maharashtra 411057, India",+91 86901 67890
Mehta Motor Solutions,"78, Platinum Residency, Kondhwa, Pune, Maharashtra 411048, India",+91 87123 78901
Joshi Car Clinic,"51, Silver Towers, Viman Nagar, Pune, Maharashtra 411014, India",+91 87345 89012
Verma Auto Repairs,"B-14, Gold Park, Koregaon Park, Pune, Maharashtra 411001, India",+91 87567 90123
Desai Car Garage,"36, Sapphire Residency, Aundh, Pune, Maharashtra 411007, India",+91 87890 01234
Patel Motor Solutions,"99, Diamond Plaza, Baner, Pune, Maharashtra 411045, India",+91 88012 12345
Sharma Auto Works,"22, Platinum Heights, Koregaon Park, Pune, Maharashtra 411001, India",+91 88234 23456
Gupta Car Clinic,"44, Ruby Residency, Kharadi, Pune, Maharashtra 411014, India",+91 88456 34567
Khan Motor Garage,"C-17, Crystal Towers, Hadapsar, Pune, Maharashtra 411028, India",+91 88678 45678
Singh Auto Solutions,"67, Emerald Enclave, Wakad, Pune, Maharashtra 411057, India",+91 88901 56789
Mehta Car Garage,"Plot No. 19, Sapphire Plaza, Kondhwa, Pune, Maharashtra 411048, India",+91 89123 67890
Joshi Motor Clinic,"32, Diamond Heights, Viman Nagar, Pune, Maharashtra 411014, India",+91 89345 78901
Verma Car Solutions,"79, Gold Towers, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 89567 89012
Desai Auto Garage,"55, Platinum Palace, Aundh, Pune, Maharashtra 411007, India",+91 89890 90123
Patel Automobile Repairs,"A-12, Crystal Residency, Baner, Pune, Maharashtra 411045, India",+91 90012 01234
Sharma Car Clinic,"68, Ruby Plaza, Koregaon Park, Pune, Maharashtra 411001, India",+91 90234 12345
Gupta Motor Garage,"23, Silver Enclave, Kharadi, Pune, Maharashtra 411014, India",+91 90456 23456
Khan Auto Clinic,"91, Sapphire Towers, Hadapsar, Pune, Maharashtra 411028, India",+91 90678 34567
Singh Car Repairs,"Plot No. 7, Diamond Plaza, Wakad, Pune, Maharashtra 411057, India",+91 90901 45678
Mehta Automobile Solutions,"84, Platinum Residency, Kondhwa, Pune, Maharashtra 411048, India",+91 91123 56789
Joshi Car Garage,"57, Emerald Towers, Viman Nagar, Pune, Maharashtra 411014, India",+91 91345 67890
Verma Motor Solutions,"B-28, Gold Heights, Koregaon Park, Pune, Maharashtra 411001, India",+91 91567 78901
Desai Car Clinic,"39, Ruby Towers, Aundh, Pune, Maharashtra 411007, India",+91 91890 89012
Patel Auto Works,"C-22, Crystal Plaza, Baner, Pune, Maharashtra 411045, India",+91 92012 90123
Sharma Car Garage,"73, Silver Park, Kalyani Nagar, Pune, Maharashtra 411014, India",+91 92234 01234
Gupta Auto Solutions,"15, Sapphire Residency, Kharadi, Pune, Maharashtra 411014, India",+91 92456 12345
Khan Car Repairs,"87, Diamond Towers, Hadapsar, Pune, Maharashtra 411028, India",+91 92678 23456
Singh Motor Solutions,"64, Platinum Enclave, Wakad, Pune, Maharashtra 411057, India",+91 92901 34567
